Sno,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
0,Italy,"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",VulkÌÊ Bianco,87,,Sicily & Sardinia,Etna,,Kerin O‰ÛªKeefe,@kerinokeefe,Nicosia 2013 VulkÌÊ Bianco  (Etna),White Blend,Nicosia
1,Portugal,"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",Avidagos,87,15,Douro,,,Roger Voss,@vossroger,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
2,US,"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",,87,14,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwineåÊ,Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,Rainstorm
3,US,"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",Reserve Late Harvest,87,13,Michigan,Lake Michigan Shore,,Alexander Peartree,,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian
4,US,"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",Vintner's Reserve Wild Child Block,87,65,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwineåÊ,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Ars In Vitro,87,15,Northern Spain,Navarra,,Michael Schachner,@wineschach,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
6,Italy,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Belsito,87,16,Sicily & Sardinia,Vittoria,,Kerin O‰ÛªKeefe,@kerinokeefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",,87,24,Alsace,Alsace,,Roger Voss,@vossroger,Trimbach 2012 Gewurztraminer (Alsace),GewÌ_rztraminer,Trimbach
8,Germany,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Shine,87,12,Rheinhessen,,,Anna Lee C. Iijima,,Heinz Eifel 2013 Shine GewÌ_rztraminer (Rheinhessen),GewÌ_rztraminer,Heinz Eifel
9,France,This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,Les Natures,87,27,Alsace,Alsace,,Roger Voss,@vossroger,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
25,US,"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",King Ridge Vineyard,87,69,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa
26,Italy,"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",Dalila,87,13,Sicily & Sardinia,Terre Siciliane,,Kerin O‰ÛªKeefe,@kerinokeefe,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari
27,Italy,"Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",,87,10,Sicily & Sardinia,Terre Siciliane,,Kerin O‰ÛªKeefe,@kerinokeefe,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari
28,Italy,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",Mascaria Barricato,87,17,Sicily & Sardinia,Cerasuolo di Vittoria,,Kerin O‰ÛªKeefe,@kerinokeefe,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo
29,US,"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",,86,16,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company
30,France,"Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",Nouveau,86,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,Domaine de la Madone
31,Italy,"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",CalanÌÂca Nero d'Avola-Merlot,86,,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2010 CalanÌÂca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta
32,Italy,"Part of the extended CalanÌÂca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",CalanÌÂca Grillo-Viognier,86,,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2011 CalanÌÂca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta
33,US,"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",Puma Springs Vineyard,86,50,California,Dry Creek Valley,Sonoma,,,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve
34,US,"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",,86,20,California,Sonoma Valley,Sonoma,,,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Envolve
35,US,"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",Hyland,86,50,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwineåÊ,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath
36,Chile,"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",Estate,86,15,Colchagua Valley,,,Michael Schachner,@wineschach,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa
37,Italy,"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",Missoni,86,21,Sicily & Sardinia,Sicilia,,,,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto
38,Italy,"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",I Tratturi,86,11,Southern Italy,Puglia,,,,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano
39,Italy,"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",Purato Made With Organic Grapes,86,12,Sicily & Sardinia,Sicilia,,,,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa
40,Italy,"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",,86,17,Sicily & Sardinia,Sicilia,,,,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni
41,US,"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",,86,22,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwineåÊ,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
42,France,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",Nouveau,86,9,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy
43,US,"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",,86,14,California,Paso Robles,Central Coast,,,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall
44,Chile,"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",,86,9,Maule Valley,,,Michael Schachner,@wineschach,Sundance 2011 Merlot (Maule Valley),Merlot,Sundance
45,US,"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",#SocialSecret,86,40,Virginia,Virginia,,,,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara
46,Italy,"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",Sallier de la Tour,86,13,Sicily & Sardinia,Sicilia,,,,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita